Year,Cons_pc_Beer,Cons_pc_Wine,Cons_pc_Spirits,Cons_pc_Alkohol,Exp_pc_Beer ,Exp_pc_Wine ,Exp_pc_Spirits ,Exp_pc_Alkohol ,Exp_pc_Total ,Exp_pc_Residual ,Prices_Beer,Prices_Wine,Prices_Spirits,Prices_Alcohol,CPI_Beer,CPI_Wine,CPI_Spirits,CPI_Alcohol,CPI_AllGoods,Population ('000),Real GDPPC,Cond_Bugdget_Shares_Beer,Cond_Bugdget_Shares_Wine,Cond_Bugdget_Shares_Spirits,Uncond_Bugdget_Shares_Beer,Uncond_Bugdget_Shares_Wine,Uncond_Bugdget_Shares_Spirits,Uncond_Bugdget_Shares_Alcohol,Volume_Shares_Beer,Volume_Shares_Wine,Volume_Shares_Spirits,Exchange_Rate,Expenditure_pc_USD_Beer ,Expenditure_pc_USD_Wine ,Expenditure_pc_USD_Spirits ,Expenditure_pc_USD_Alcohol ,Expenditure_pc_USD_Total ,Expenditure_pc_USD_Residuals ,Price_USD_Beer,Price_USD_Wine,Price_USD_Spirits,Price_USD_Alcohol,Country
1970,6.13,1.67,1.06,8.86,66.22,23.98,15.54,105.74,1560.56,1454.83,10.80,14.32,14.70,12.31,7.04,17.36,6.85,0.00,8.86,12660.16,12023.54,0.63,0.23,0.15,0.04,0.02,0.01,0.07,0.69,0.19,0.12,0.90,73.74,26.70,17.31,117.75,1737.82,1620.08,12.03,15.95,16.37,13.71,Australia
1971,6.15,1.35,1.10,8.60,70.16,20.47,16.18,106.81,1681.89,1575.09,11.40,15.20,14.75,12.75,7.43,18.42,6.88,0.00,9.40,12937.20,12289.52,0.66,0.19,0.15,0.04,0.01,0.01,0.06,0.72,0.16,0.13,0.88,79.72,23.26,18.39,121.37,1911.24,1789.87,12.95,17.27,16.76,14.48,Australia
1972,6.30,1.55,1.24,9.10,75.59,23.50,18.51,117.59,1828.79,1711.20,12.00,15.12,14.88,13.23,7.83,18.33,6.93,9.01,9.97,13177.00,12404.42,0.64,0.20,0.16,0.04,0.01,0.01,0.06,0.69,0.17,0.14,0.84,90.09,28.01,22.06,140.16,2179.73,2039.57,14.30,18.02,17.73,15.76,Australia
1973,6.87,1.61,1.26,9.74,89.31,24.94,23.03,137.27,2007.49,1870.21,13.00,15.52,18.23,14.36,8.48,18.81,8.50,9.76,10.87,13380.40,12878.09,0.65,0.18,0.17,0.04,0.01,0.01,0.07,0.71,0.16,0.13,0.71,126.68,35.37,32.66,194.71,2847.50,2652.79,18.44,22.01,25.85,20.37,Australia
1974,7.00,1.77,1.21,9.98,103.54,31.91,27.84,163.30,2352.21,2188.92,14.80,18.00,22.98,16.67,9.65,21.82,10.71,10.98,12.55,13599.10,12985.12,0.63,0.20,0.17,0.04,0.01,0.01,0.07,0.70,0.18,0.12,0.70,148.99,45.92,40.06,234.96,3384.48,3149.52,21.29,25.90,33.06,23.99,Australia
1975,6.83,2.25,1.17,10.25,127.10,48.75,30.25,206.09,2862.96,2656.87,18.60,21.68,25.90,20.53,12.13,26.28,12.07,12.20,14.45,13771.40,13169.83,0.62,0.24,0.15,0.04,0.02,0.01,0.07,0.67,0.22,0.11,0.77,166.14,63.72,39.54,269.40,3742.43,3473.04,24.31,28.34,33.86,26.83,Australia
1976,6.83,2.10,1.28,10.22,139.36,49.27,34.51,223.14,3307.97,3084.82,20.40,23.44,26.93,22.24,13.30,28.41,12.55,15.20,16.38,13915.50,13558.84,0.62,0.22,0.15,0.04,0.01,0.01,0.07,0.67,0.21,0.13,0.82,170.16,60.16,42.14,272.46,4039.03,3766.57,24.91,28.62,32.88,27.16,Australia
1977,6.85,2.23,1.34,10.42,146.66,55.46,37.26,239.37,3839.68,3600.30,21.40,24.88,27.78,23.28,13.96,30.16,12.95,15.85,18.39,14074.10,13546.37,0.61,0.23,0.16,0.04,0.01,0.01,0.06,0.66,0.21,0.13,0.90,162.60,61.48,41.30,265.38,4256.85,3991.47,23.73,27.58,30.79,25.81,Australia
1978,6.64,1.95,1.09,9.67,164.64,50.82,40.35,255.82,4225.75,3969.93,24.80,26.08,37.18,26.66,16.17,31.61,17.33,16.60,19.86,14248.60,13768.65,0.64,0.20,0.16,0.04,0.01,0.01,0.06,0.69,0.20,0.11,0.87,188.38,58.15,46.17,292.70,4834.95,4542.26,28.38,29.84,42.53,30.50,Australia
1979,6.71,2.30,1.03,10.03,179.73,61.96,42.35,284.03,4622.62,4338.59,26.80,26.96,41.28,28.51,17.48,32.68,19.24,19.98,21.68,14421.90,14319.54,0.63,0.22,0.15,0.04,0.01,0.01,0.06,0.67,0.23,0.10,0.90,200.81,69.23,47.32,317.35,5164.94,4847.59,29.94,30.12,46.12,31.85,Australia
